S,Feedback,Sentiment
667,"Looks good in the picture, but this case was a huge disappointment!!",0
507,The holster that arrived did not match the photo in the ad.,0
86,This phone works great.,1
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",0
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
9,What a waste of money and time!.,0
682,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0
10,And the sound quality is great.,1
835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
951,Very much disappointed with this company.,0
790,NOT WHAT I WANTED.,0
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
530,Keep up the good work Amazon!!,1
987,Phone falls out easily.,0
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
388,It worked very well.,1
893,Bad Reception.,0
672,The first thing that happened was that the tracking was off.,0
820,Plan on ordering from them again and again.,1
691,Clear crisp sound.,1
850,It looks very nice.,1
305,I received it quickly and it works great!!,1
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
515,Mobile Phone Tools are a must have.,1
509,"As an earlier review noted, plug in this charger and nothing happens.",0
122,Iam very pleased with my purchase.,1
337,Very disappointing.,0
929,As I said above....PRETTY USELESS!,0
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
732,T-Mobile has the best customer service anywhere.,1
653,Utter crap.. Sound quality is TERRIBLE.,0
531,They refuse to refund or replace.,0
918,Works for me.,1
673,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
326,"However-the riingtones are not the best, and neither are the games.",0
958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
92,Worked great!.,1
245,Worth every penny.,1
97,I found this product to be waaay too big.,0
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
617,However I needed some better instructions.,0
988,"It didn't work, people can not hear me when I talk.",0
578,It does everything the description said it would.,1
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
148,Items stated as included from the description ARE NOT INCLUDED.,0
768,Great product.,1
353,Their network coverage in Los Angeles is horrible.,0
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
742,It dit not work most of the time with my Nokia 5320.,0
565,Disapointing Results.,0
765,in addition it feels and  looks as if the phone is all lightweight cheap plastic.,0
202,It makes very strange ticking noises before it ends the call.,0
540,I am glad I purchased it.,1
884,"I am pairing this with my iphone, and I could not be happier with it so far.",1
873,My sister has one also and she loves it.,1
694,The design might be ergonomic in theory but I could not stand having these in my ear.,0
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
743,"Bought mainly for the charger, which broke soon after purchasing.",0
473,Great software for Motorolas.,1
290,Great Phone.,1
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
602,Those phones are working just fine now.,1
89,The phone loads super!,1
709,Appears to actually outperform the original battery from China that came with my V325i.,1
277,Very good phone.,1
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
789,I can't use this case because the smell is disgusting.,0
730,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
571,This fixes all the problems.,1
76,Do Not Buy for D807...wrongly advertised for D807.,0
45,It has all the features I want,1
830,Unfortunately it did not work.,0
882,The only good thing was that it fits comfortably on small ears.,1
395,Better than you'd expect.,1
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
888,Don't trust their website and don't expect any helpful support.,0
693,"The biggest complaint I have is, the battery drains superfast.",0
753,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
748,Does not fit.,0
495,Plug was the wrong size.,0
300,Sending it back.,0
786,They work about 2 weeks then break.,0
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
432,Low Quality.,0
301,Now I know that I made a wise decision.,1
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
719,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
23,I have yet to run this new battery below two bars and that's three days without charging.,1
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
948,nice leather.,1
157,This item is fantastic and works perfectly!,1
734,We have tried 2 units and they both failed within 2 months.. Pros,0
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
29,Doesn't hold charge.,0
526,"horrible, had to switch 3 times.",0
662,I love the look and feel of Samsung flipphones.,1
258,Excellent hands free tool.,1
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
920,much better than the hard plastic cases.,1
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
351,Works like a charm.. Works as advertised.,1
629,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
898,Everything about this product is wrong.First,0
17,So Far So Good!.,1
242,Worst Customer Service Ever.,0
781,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0
677,Truly awful.,0
194,Not impressed.,0
566,Cumbersome design.,0
943,I'm returning them.,0
533,So I basically threw my money out the window for nothing.,0
37,Poor Talk Time Performance.,0
643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
637,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0
286,I wouldn't recommend buying this product.,0
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0
354,Excellent starter wireless headset.,0
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
178,It only recognizes the Phone as its storage device.,0
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
989,The text messaging feature is really tricky to use.,0
234,Really pleased with this product so far.,1
783,It was horrible!.,0
327,The plug did not work very well.,0
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
508,great...no problems at all!.,1
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
751,disappointing.,0
777,WORTHWHILE.,1
44,Excellent bluetooth headset.,1
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
518,The phone is sturdy and waterproof.,1
244,It defeats the purpose of a bluetooth headset.,0
128,"I've only had my bluetooth for a few weeks, but I really like it.",1
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
134,Buyer--Be Very Careful!!!!!.,0
812,Battery charge-life is quite long.,1
366,Waste of money.,0
849,I bought two of them and neither will charge.,0
759,Its the best headset I have used.,1
302,Someone shouldve invented this sooner.,1
752,Blue Ant is easy to use.,1
223,"All in all, I'd expected a better consumer experience from Motorola.",0
735,"Provides good protection and looks classy, too.",1
550,"I love the camera, it's really pretty good quality.",1
657,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
18,Works great!.,1
475,Very easy to use.,1
813,The Jabra EarGels fit my ears very well.,1
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
403,Very pleased with this headset.,1
440,Very Displeased.,0
197,Bad Choice.,0
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
878,Does not work for listening to music with the cingular 8125.,0
764,wont work right or atleast for me.,0
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
562,"All in all, I'm quite satisfied with this purchase.",1
220,Freezes frequently4.,0
927,"but it is great, i would really recommend it",1
183,"I have this phone and it is a thorn in my side, I really abhor it.",0
521,Thanks again to Amazon for having the things I need for a good price!,1
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
587,Also difficult to put on.I'd recommend avoiding this product.,0
204,Battery lasts only a few hours.,0
150,I Was Hoping for More.,0
944,I does not maintain a connection with the computer while it is on my lap.,0
806,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
964,It's pretty easy.,1
227,I'm a bit disappointed.,0
701,You can't beat the price on these.,1
707,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
702,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
831,All three broke within two months of use.,0
592,THey are so cool!,1
129,The BT headset was such a disapoinment.,0
172,How can that be?The audio quality is poor.,0
203,The best electronics of the available FM Transmitters.,1
687,i would advise to not purchase this item it never worked very well.,0
556,Great product for the price!.,1
380,Great Hands Free Device.,1
979,Not enough volume.,0
923,cool phone.,1
793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
198,The pleather case doesn't fit.,0
727,"Other than that, the leather is nice and soft;   the fit is very tight;  the cut out for the face is a good shape.",1
436,I wish I could return the unit and get back my money.,0
428,IT'S REALLY EASY.,1
937,The headset fulfills my requirements so I am happy with my purchase.,1
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
137,My headset works just peachy-keen.,1
683,I love the ringtones because they are so upbeat!,1
860,Last time buying from you.,0
25,Great Pocket PC / phone combination.,1
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
306,Has been working great.,1
994,Kind of flops around.,0
170,EXCELLENT SERVICE!!!!!!!!.,1
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
576,The battery life is highly unacceptable.,0
791,I own 2 of these cases and would order another.,1
16,I advise EVERYONE DO NOT BE FOOLED!,0
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
733,Arrived quickly and much less expensive than others being sold.,1
310,"This is a good battery, and it got here really fast.",1
957,Love it.. Great armband.,1
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0
467,Very disappointed in AccessoryOne.,0
904,Problem is that the ear loops are made of weak material and break easily.,0
240,Big Disappointment with calendar sync.,0
938,Logitech Bluetooth Headset is a 10!.,1
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
293,DO NOT PURCHASE THIS PHONE.,0
263,Absolutel junk.,0
981,you could only take 2 videos at a time and the quality was very poor.,0
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1
745,Fantastic buy and will get again for whatever my next phone is,1
295,This is hands down the best phone I've ever had.,1
590,Sprint - terrible customer service.,0
298,Customer service was terrible.,0
154,I've bought $5 wired headphones that sound better than these.,0
891,"Fits comfortably, came with three sizes of earbud tips.",1
710,Can't store anything but phone numbers to SIM.,0
486,Its not user friendly.,0
162,This is essentially a communications tool that does not communicate.,0
253,I love all the features and form factor.,1
233,Great sound and service.,1
980,Echo Problem....Very unsatisfactory,0
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
684,Chinese Forgeries Abound!.,0
151,"Audio Quality is poor, very poor.",0
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
119,)Setup couldn't have been simpler.,1
633,You get what you pay for I guess.,0
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
845,Stay Away From the Q!.,0
569,It's A PIECE OF CRAP!,0
121,Could not get strong enough signal.,0
853,These products cover up the important light sensor above the ear outlet.,0
646,Phone is sturdy as all nokia bar phones are.,1
605,This is infuriating.,0
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
840,It would take too long to describe how bad my customer service experience has been with Amazon.,0
621,DO NOT BUY DO NOT BUYIT SUCKS,0
999,"You can not answer calls with the unit, never worked once!	",0
343,New Battery works great in phone.,1
965,I cannot make calls at certain places.,0
758,The sound quality is excellent as well.,1
215,I would highly recommend this.,1
640,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
827,Good case!.,1
49,Disappointed with battery.,0
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
953,It didn't charge for me.,0
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
73,Nice docking station for home or work.,1
140,What a waste.,0
636,These are fabulous!,1
877,Excellent!.,1
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
800,"Good , works fine.",1
205,"great headset, very impressed - H500.",1
761,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
109,I purcashed this for the car charger and it does not work.,0
156,"Nice quality build, unlike some cheap s*** out there.",1
615,the charger worked for about a week and then completely stopped charging my phone.,0
635,im surprised this is a good quality car charger and there's not much reviews about it.,1
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
261,Only had this a month but it's worked flawlessly so far.,1
255,poor quality and service.,0
116,i got this phone around the end of may and i'm completely unhappy with it.,0
91,Made very sturdy.,1
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
525,REALLY UGLY.,0
630,Don't bother - go to the store.,0
896,Great phone.,1
362,"It is light, easy to use, and has very clear reception and transmission.",1
869,"Just really good.. So far, probably the best BT headset I have ever had.",1
139,Voice recognition is tremendous!,1
609,It fits my ear well and is comfortable on.,1
803,"If there is a wind, it is completely useless.",0
805,Does Not Work.,0
564,Yet Plantronincs continues to use the same flawed charger design.,0
551,Thank you for such great service.,1
785,This allows the possibility of double booking for the same date and time after the first.,0
961,I was very impressed with the price of the cases.,1
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
883,WARNING - DO NOT BUY!!.,0
51,good protection and does not make phone too bulky.,1
391,The picture resolution is far below what other comparably-priced phones are offering today.,0
553,"The seller is very understanding and patient, I would definitely buy from them again.",1
364,It definitely was not as good as my S11.,1
168,doesn't last long.,0
871,I received my headset in good time and was happy with it.,1
303,Good price.,1
474,The delivery was on time.,1
862,So far it has worked like a charm.,1
829,Really good product.,1
322,The Ngage is still lacking in earbuds.,0
612,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
41,I was not impressed by this product.,0
726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
363,"bad fit, way too big.",0
919,"Saggy, floppy piece of junk.",0
655,"No ear loop needed, it's tiny and the sound is great.",1
716,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
407,Works great.,1
822,I have been very satisfied with this cell phone from day one.,1
282,"First of all, it doesn't wear well.",0
456,Timely shipment and quality product.,1
488,"Then I exchanged for the same phone, even that had the same problem.",0
445,"I searched the Internet, and found this one to be the best value.",1
446,Does not fit.,0
239,Do not make the same mistake as me.,0
319,I love this device.,1
124,Gets the job done.,1
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
679,The volume for the ringer is REAL good (you have choices how loud).,1
471,The update procedure is difficult and cumbersome.,0
770,AFter the first charge kept going dead after 12 minutes.,0
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0
763,This particular model would not work with my Motorola Q smartphone.,0
852,I have read other's reviews here but I haven't had any problem with it.,1
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
895,It was quite comfortable in the ear.,1
773,The reception has been generally good.,1
585,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
318,I want my money back.,0
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
163,Works like a charm.  it work the same as the one I got with the phone.,1
572,Worst ever.,0
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
489,This results in the phone being either stuck at max volume or mute.,0
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
314,The battery is unreliable as well as the service use antena.,0
824,Awkward to use and unreliable.,0
8,"Needless to say, I wasted my money.",0
905,Not nearly as good looking as the AMAZON picture makes it look.,0
543,Don't buy this product.,0
523,I had to go to a store and bought a new NOKIA phone which is working great.,1
291,Don't buy it.,0
625,Very Dissapointing Performance.,0
490,This PDA rocks.,1
740,I would highly recommend this product.,1
437,Awsome Device Works Great!!.,1
628,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
60,Essentially you can forget Microsoft's tech support.,0
405,I especially love the long battery life.,1
483,You won't regret it!,1
921,It also had a new problem.,0
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
462,Cant get the software to work with my computer.,0
769,Crisp and Clear.,1
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
584,Better than expected.,1
93,The ear buds only play music in one ear.,0
80,I wear it everyday and it holds up very well.,1
649,I'm pleased.,1
875,This is by far the worst purchase I've made on Amazon.,0
382,Same problem as others have mentioned.,0
377,This is a VERY average phone with bad battery life that operates on a weak network.,0
259,Great for using with your home stereo.,1
246,Excellent wallet type phone case.,1
968,This company charge me a restocking fee and still not given me my refund back.,0
182,The sound quality is good and functionality is awesome.,1
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
386,Poor sound quality.,0
588,"I only used it two days, and it wasn't always easy to hear with.",0
113,"Great product, fast shipping!.",1
818,Doesn't do the job.,0
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
292,Excellent Phone.,1
658,Talk about USELESS customer service.,0
801,For the price this was a great deal.,1
865,Would recommend this item.,1
39,worthless product.,0
195,"Light weight, I hardly notice it is there.",1
796,"Five star Plus, plus.",1
579,Due to this happening on every call I was forced to stop using this headset.,0
910,"Good show, Samsung.",1
665,I could not recommend these more.,0
171,Thank you for wasting my money.,0
804,Yes it's shiny on front side - and I love it!,1
230,The battery is completely useless to me.,0
583,"It plays louder than any other speaker of this size;  the price is so low that most would think the quality is lacking, however, it's not.",1
926,It looses connection to the phone even when it is within a couple feet between the two.,0
714,Not worth it.,0
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
568,Great Product.,1
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
421,Don't make the same mistake I did.,0
746,"stay away from this store, be careful.",0
238,I was very excited to get this headset because I thought it was really cute.,1
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0
766,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0
299,Battery life still not long enough in Motorola Razor V3i.,0
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
48,This case seems well made.,1
103,The price was very good and with the free shipping and all it was a good purchase.,1
894,This product is very High quality Chinese CRAP!!!!!!,0
940,A lot of websites have been rating this a very good phone and so do I.,1
596,Piece of trash.,0
482,"After charging overnight, these batteries work great.",1
50,Not loud enough and doesn't turn on like it should.,0
330,VERY comfortable.,1
251,O my gosh the best phone I have ever had.,1
420,Price is good too.,1
956,Just reading on the specs alone makes you say WOW.,1
815,I checked everywhere and there is no feature for it which is really disappointing.,0
274,Avoid this one if you can.,0
522,I ended up sliding it on the edge of my pants or back pockets instead.,1
87,The construction of the headsets is poor.,0
648,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
460,BT50 battery junk!.,0
5,I have to jiggle the plug to get it to line up right to get decent volume.,0
461,We would recommend these to others.,1
767,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0
686,The instructions didn't explain that a microphone jack could be used.,0
561,Please dont waste your money.,0
690,The nokia CA-42 USB cable did not work with my phone.,0
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
287,Piece of Junk.,0
837,I don't like this Nokia either.,0
271,Worked perfectly!,1
252,It's very attractive and appears to be of good quality.,1
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
281,I love this bluetooth!,1
219,I'm still infatuated with this phone.,1
313,Phone now holds charge like it did when it was new.,1
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
986,You also cannot take pictures with it in the case because the lense is covered.,0
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
642,"Obviously they have a terrible customer service, so you get what you pay for.",0
340,Excellent sound quality.,1
917,Leopard Print is wonderfully wild!.,1
426,"every thing on phone work perfectly, she like it.",1
464,poor voice clarity.,0
600,Their Research and Development division obviously knows what they're doing.,1
738,The design is very good.4.,1
792,Great Phone.,1
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
967,Beautiful styling though.,1
816,Product is exactly as described.,1
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0
193,I have had problems wit hit dropping signal and more.,0
143,very disappointed.,0
367,"I had ordered a motorola data cable, got a very well finished and working product.",1
284,I got it because it was so small and adorable.,1
754,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
519,I am not impressed with this and i would not recommend this item to anyone.,0
385,The worst piece of crap ever along with the Verizon customer service.,0
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
466,No buyers remorse on this one!.,0
443,Restored my phone to like new performance.,1
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
760,Would not reccommend.,0
688,Too bad you have to pay up to $$$ a month for the service!,0
381,"you can even take self portraits with the outside (exterior) display, very cool.",1
881,Having trouble with volume.,0
272,Unreliable - I'm giving up.,0
270,"Not only will it drain your player, but may also potentially fry it.",0
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
222,"Simple, lightweight and great fit.",1
573,I am very happy,1
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
434,But it does get better reception and clarity than any phone I've had before.,1
741,"Couldn't use the unit with sunglasses, not good in Texas!",0
661,I'm happy about this purchase- good quality and low price.,1
356,The only thing that I think could improve is the sound leaks out from the headset.,0
993,disappointed.,0
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
897,Don't buy this product - It fails!.,0
591,Linked to my phone without effort.,1
747,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
214,fast service.,1
262,Works great.,1
42,Nice headset priced right.,1
297,This one works and was priced right.,1
595,"What possesed me to get this junk, I have no idea...",0
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
681,camera color balance is AWFUL.,0
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
626,Don't make the same mistake that I did and please don't buy this phone.,0
264,THAT one didn't work either.,0
267,It's a great item.,1
593,Easy to use.,1
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
372,Battery life is also great!,1
459,Horrible phone.,0
909,Seller shipped quickly and much cheaper than the competitors.,1
465,The battery works great!,1
502,Defective crap.,0
412,Jawbone Era is awesome too!,1
125,Great audio!.,1
970,I plugged it in only to find out not a darn thing worked.,0
721,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
654,"The charger arrived within the promised timeframe, but it did not work.",0
756,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
558,Virgin Wireless rocks and so does this cheap little phone!,1
231,What a big waste of time.,0
275,Reversible plug works great.,1
825,The shipping time was also very quick!,1
599,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
924,Works good.,1
54,I love this thing!,1
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
664,Does everything it should and more.,1
332,The reception is excellent!,1
620,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0
610,It doesn't work in Europe or Asia.,0
117,It is very comfortable on the ear.,1
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
962,Also makes it easier to hold on to.,1
541,I've missed numerous calls because of this reason.,0
947,"Otherwise, easy to install and use, clear sound.",1
145,I got this phone on reccomendation from a relative and I'm glad I did.,1
186,Design Flaw?.,0
472,Disappointment.. I hate anything that goes in my ear.,0
632,I did not have any problem with this item and would order it again if needed.,1
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
983,I am going to have to be the first to negatively review this product.,0
